pack_row,reason,sequence_id,split,station,latitude,longitude,init_time_bjt,init_time_utc,target_time_bjt,target_time_utc,lead_minutes,observed_ghi_15min_wm2,label_record_times_bjt,solar_cosine,day_mask_sza_lt_90,clear_sky_ghi_15min_wm2,kt,simvp_seq_id,cache_index,station_index,lead_index
129671,suspected_positive_flatline_ge60min,train_20240701T0200+0800,train,sili,25.9478611111,112.347916667,2024-07-01T02:00:00+08:00,2024-06-30T18:00:00+00:00,2024-07-01T06:00:00+08:00,2024-06-30T22:00:00+00:00,240,362.0,2024-07-01T05:50:00+08:00|2024-07-01T05:55:00+08:00|2024-07-01T06:00:00+08:00,0.0488578102068212,True,0.75803980592284,477.5474812424924,hunan_202406301615,5602,0,15
129674,suspected_positive_flatline_ge60min,train_20240701T0215+0800,train,sili,25.9478611111,112.347916667,2024-07-01T02:15:00+08:00,2024-06-30T18:15:00+00:00,2024-07-01T06:00:00+08:00,2024-06-30T22:00:00+00:00,225,362.0,2024-07-01T05:50:00+08:00|2024-07-01T05:55:00+08:00|2024-07-01T06:00:00+08:00,0.0488578102068212,True,0.75803980592284,477.5474812424924,hunan_202406301630,5603,0,14
129675,suspected_positive_flatline_ge60min,train_20240701T0215+0800,train,sili,25.9478611111,112.347916667,2024-07-01T02:15:00+08:00,2024-06-30T18:15:00+00:00,2024-07-01T06:15:00+08:00,2024-06-30T22:15:00+00:00,240,362.0,2024-07-01T06:05:00+08:00|2024-07-01T06:10:00+08:00|2024-07-01T06:15:00+08:00,0.1025897529366486,True,10.616362741927565,34.0983073770022,hunan_202406301630,5603,0,15
129679,suspected_positive_flatline_ge60min,train_20240701T0230+0800,train,sili,25.9478611111,112.347916667,2024-07-01T02:30:00+08:00,2024-06-30T18:30:00+00:00,2024-07-01T06:00:00+08:00,2024-06-30T22:00:00+00:00,210,362.0,2024-07-01T05:50:00+08:00|2024-07-01T05:55:00+08:00|2024-07-01T06:00:00+08:00,0.0488578102068212,True,0.75803980592284,477.5474812424924,hunan_202406301645,5604,0,13
129680,suspected_positive_flatline_ge60min,train_20240701T0230+0800,train,sili,25.9478611111,112.347916667,2024-07-01T02:30:00+08:00,2024-06-30T18:30:00+00:00,2024-07-01T06:15:00+08:00,2024-06-30T22:15:00+00:00,225,362.0,2024-07-01T06:05:00+08:00|2024-07-01T06:10:00+08:00|2024-07-01T06:15:00+08:00,0.1025897529366486,True,10.616362741927565,34.0983073770022,hunan_202406301645,5604,0,14
129681,suspected_positive_flatline_ge60min,train_20240701T0230+0800,train,sili,25.9478611111,112.347916667,2024-07-01T02:30:00+08:00,2024-06-30T18:30:00+00:00,2024-07-01T06:30:00+08:00,2024-06-30T22:30:00+00:00,240,362.0,2024-07-01T06:20:00+08:00|2024-07-01T06:25:00+08:00|2024-07-01T06:30:00+08:00,0.1566188251765872,True,37.042773491835156,9.772486395485231,hunan_202406301645,5604,0,15
129686,suspected_positive_flatline_ge60min,train_20240701T0245+0800,train,sili,25.9478611111,112.347916667,2024-07-01T02:45:00+08:00,2024-06-30T18:45:00+00:00,2024-07-01T06:00:00+08:00,2024-06-30T22:00:00+00:00,195,362.0,2024-07-01T05:50:00+08:00|2024-07-01T05:55:00+08:00|2024-07-01T06:00:00+08:00,0.0488578102068212,True,0.75803980592284,477.5474812424924,hunan_202406301700,5605,0,12
129687,suspected_positive_flatline_ge60min,train_20240701T0245+0800,train,sili,25.9478611111,112.347916667,2024-07-01T02:45:00+08:00,2024-06-30T18:45:00+00:00,2024-07-01T06:15:00+08:00,2024-06-30T22:15:00+00:00,210,362.0,2024-07-01T06:05:00+08:00|2024-07-01T06:10:00+08:00|2024-07-01T06:15:00+08:00,0.1025897529366486,True,10.616362741927565,34.0983073770022,hunan_202406301700,5605,0,13
129688,suspected_positive_flatline_ge60min,train_20240701T0245+0800,train,sili,25.9478611111,112.347916667,2024-07-01T02:45:00+08:00,2024-06-30T18:45:00+00:00,2024-07-01T06:30:00+08:00,2024-06-30T22:30:00+00:00,225,362.0,2024-07-01T06:20:00+08:00|2024-07-01T06:25:00+08:00|2024-07-01T06:30:00+08:00,0.1566188251765872,True,37.042773491835156,9.772486395485231,hunan_202406301700,5605,0,14
129689,suspected_positive_flatline_ge60min,train_20240701T0245+0800,train,sili,25.9478611111,112.347916667,2024-07-01T02:45:00+08:00,2024-06-30T18:45:00+00:00,2024-07-01T06:45:00+08:00,2024-06-30T22:45:00+00:00,240,362.0,2024-07-01T06:35:00+08:00|2024-07-01T06:40:00+08:00|2024-07-01T06:45:00+08:00,0.2107137117588196,True,76.00543133022377,4.762817520595396,hunan_202406301700,5605,0,15
