station,station_cn,method,method_label,seed,n,mean_observed_wm2,r2,rmse_wm2,mae_wm2,nrmse_pct,nmae_pct
sili,四里,A,FY4B外推,42,49806,438.17977753684295,0.7388525780602859,164.94751550928598,114.65900159001988,37.643799181357,26.167113926287744
zhujia,竺家,A,FY4B外推,42,50043,386.8876837253295,0.7531669285058877,135.0863272519554,96.80843294798565,34.91616118435545,25.022361015946608
sili,四里,A,FY4B外推,43,49806,438.17977753684295,0.727349498311799,168.5411906381843,119.65360885979908,38.46393632896787,27.306967366776387
zhujia,竺家,A,FY4B外推,43,50043,386.8876837253295,0.7672426161253761,131.17813558845236,94.73209600477956,33.90599936533057,24.485684086039427
sili,四里,A,FY4B外推,44,49806,438.17977753684295,0.7349029887069514,166.19016645106333,118.28552668051724,37.927393040654366,26.99474798801539
zhujia,竺家,A,FY4B外推,44,50043,386.8876837253295,0.757787357799607,133.81602470529276,96.34240107596004,34.58782234078439,24.90190438431176
sili,四里,AC,FY4B外推 + COT云属性,42,49806,438.17977753684295,0.7330143628833046,166.78110860189696,118.11266489227917,38.062255985301306,26.955298018596498
zhujia,竺家,AC,FY4B外推 + COT云属性,42,50043,386.8876837253295,0.767051765456008,131.23190467771792,95.84852372422094,33.91989722032244,24.77425044945822
sili,四里,AC,FY4B外推 + COT云属性,43,49806,438.17977753684295,0.737884171301755,165.25306797273186,117.1295969262414,37.713531396103065,26.730945363263128
zhujia,竺家,AC,FY4B外推 + COT云属性,43,50043,386.8876837253295,0.7632261380201919,132.30510427671837,97.18250833879584,34.19729028403195,25.1190493848314
sili,四里,AC,FY4B外推 + COT云属性,44,49806,438.17977753684295,0.7365030084855184,165.68787863685768,117.62402881154874,37.81276250771896,26.843783041005057
zhujia,竺家,AC,FY4B外推 + COT云属性,44,50043,386.8876837253295,0.747973596327941,136.50002835073397,98.98194496669959,35.28156467437253,25.58415507405289
